asin,title,price,rating,review_count
B06YS658CHWD,YOXUA Women's Summer Sleeveless Boat Neck Mini Dress Slim Fit Party Club Teacher Casual Office Dresses,124.97,4.2,0
B0FYF5KQ3DIS,NENONA Women's 2025 Fall Sweater Dress Winter Long Sleeve Fashion Button Elegant Work Formal Cocktail Party Mini Dresses,396.15,4.5,0
B0CNOR5RN9S9,Tanming Women's 2 Piece Outfits Long Sleeve Knit Sweater Top Wide Leg Pants Lounge Sets Tracksuits,289.16,3.9,0
B0XCTSIOKV3E,EXLURA Women's 2025 Mock Neck Ribbed Long Sleeve Bodycon Pullover Cute Mini Sweater Dress,399.37,4.5,0
B0EGNZKU3RSP,Tanming Women's 2 Piece Outfits Long Sleeve Knit Sweater Top Wide Leg Pants Lounge Sets Tracksuits,259.77,4.5,0
B0GDXG8LSS2Z,LILLUSORY Women's 2 Piece Lounge Sets Oversized Slouchy Matching Cozy Knit Sets,384.07,3.7,0
B0M6KLX4ULV0,LILLUSORY Cardigan Sweaters for Women Lightweight Open Front Cardigans Casual Loose 2025 Fall Sweater with Pockets,183.5,4.6,0
B0WIL7GTTTID,"Sexy Elegant Lace Beach Cover Up for Women, Bathing Suit Cover Up, V-Neck Swimsuit Coverup for Poolside, Seaside and Party",101.93,4.7,0
B0CV8QJ1PW4B,Simplee Women's Floral Boho Long Sleeve Maxi Dress V Neck Empire Waist Swing Flowy Wedding Guest Dress,378.05,4.7,0
B01AAVGJ92LK,WOOSEA Women Sleeveless V Neck Split Evening Cocktail Long Dress,511.47,4.2,0
B05HLXQHYBFZ,Hooever Women's Corduroy Overall Dress Round Neck A Line Skirtall Jumper Mini Dress Pinafore with Pockets,291.42,4.4,0
B0D9X8Z5QNLR,YOXUA Women's Summer Sleeveless Boat Neck Mini Dress Slim Fit Party Club Teacher Casual Office Dresses,179.72,4.3,0
B0OVV16WZX96,FQA Formal Evening Dresses for Women Elegant Evening Party Prom Dress Long Sexy V Neck Sleeveless Split Wrap,468.68,4.8,0
B01SD8LYS8JK,PRETTYGARDEN Summer Dresses for Women 2025 Elegant Classy A Line Business Casual Work Graduation Cocktail Short Dress,235.99,4.5,0
B0QZEL1XIT3Y,"Sexy Elegant Lace Beach Cover Up for Women, Bathing Suit Cover Up, V-Neck Swimsuit Coverup for Poolside, Seaside and Party",94.98,4.4,0
B04EIBQS1VCD,YIANNA Fajas Colombianas Shapewear for Women Postpartum Tummy Control Body Shaper Butt Lifter Bodysuit,291.32,4.2,0
B07SABCA1SKN,Verdusa Women's Fall Formal Wedding Guest Dress Halter Flowy Sleeveless Asymmetrical Boho Maxi Dress,336.6,3.7,0
B0773RVJ1QUY,Tanming Women's 2 Piece Outfits Long Sleeve Knit Sweater Top Wide Leg Pants Lounge Sets Tracksuits,266.38,4.7,0
B0DGGTFB2JV1,CHARTOU Women PU Faux Leather Sleeveless Elegant Flowy Long Dress Party Night Out Dress with Belt,232.99,4.2,0
B0TKWOAYS2EZ,Kaximil Women's Square Neck Ruffle Hem Mini Dress Ruched Waist Long Sleeve Corset Short Party Dresses,268.78,4.0,0
B0WLLKUCCP70,PRETTYGARDEN Summer Dresses for Women 2025 Elegant Classy A Line Business Casual Work Graduation Cocktail Short Dress,256.35,4.5,0
B0I0IFLB20IZ,Hooever Women's Corduroy Overall Dress Round Neck A Line Skirtall Jumper Mini Dress Pinafore with Pockets,210.85,4.3,0
B0K0TFCVXF4O,WOOSEA Women's High Neck Split Bodycon Mermaid Evening Cocktail Long Dress,409.96,4.3,0
B06L29E62UW2,VICHYIE Women Mock Neck Ribbed Bodycon Dress Long Sleeve Mini Pencil Dresses,246.46,4.8,0
B002DYPPMKFA,"Long Black Formal Dresses for Women Gowns Evening Party Cocktail Dress,Split Elegant V Neck Wrap Ruffle Wedding Guest Dresses",400.33,4.6,0
